"file","source_row","age_Ma","min_age_Ma","max_age_Ma","status"
"stomata-franks_liang_2022a.xlsx",4,15.78,0,23.03,"included"
"stomata-franks_liang_2022a.xlsx",5,15.78,0,23.03,"included"
"stomata-franks_liang_2022a.xlsx",6,15.78,0,23.03,"included"
"stomata-franks_liang_2022a.xlsx",7,15.78,0,23.03,"included"
"stomata-franks_liang_2022a.xlsx",8,15.78,0,23.03,"included"
"stomata-franks_liang_2022a.xlsx",9,15.78,0,23.03,"included"
"stomata-franks_liang_2022a.xlsx",10,15.78,0,23.03,"included"
"stomata-franks_liang_2022a.xlsx",11,15.78,0,23.03,"included"
"stomata-franks_liang_2022a.xlsx",12,15.78,0,23.03,"included"
"stomata-franks_liang_2022a.xlsx",13,15.78,0,23.03,"included"
"stomata-franks_liang_2022b.xlsx",4,21.09,0,23.03,"included"
"stomata-franks_liang_2022b.xlsx",5,21.09,0,23.03,"included"
"stomata-franks_liang_2022b.xlsx",6,21.09,0,23.03,"included"
"stomata-franks_liang_2022b.xlsx",7,21.09,0,23.03,"included"
"stomata-franks_liang_2022b.xlsx",8,21.09,0,23.03,"included"
"stomata-franks_liang_2022b.xlsx",9,21.09,0,23.03,"included"
"stomata-franks_londono_2018.xlsx",4,18.1,0,23.03,"included"
"stomata-franks_londono_2018.xlsx",5,18.1,0,23.03,"included"
"stomata-franks_londono_2018.xlsx",6,18.1,0,23.03,"included"
"stomata-franks_londono_2018.xlsx",7,18.1,0,23.03,"included"
"stomata-franks_londono_2018.xlsx",8,18.1,0,23.03,"included"
"stomata-franks_maxbauer_2014.xlsx",4,42.5,0,23.03,"outside age range"
"stomata-franks_reichgelt_2020.xlsx",4,22.946,0,23.03,"included"
"stomata-franks_reichgelt_2020.xlsx",5,22.939,0,23.03,"included"
"stomata-franks_reichgelt_2020.xlsx",6,22.944,0,23.03,"included"
"stomata-franks_reichgelt_2020.xlsx",7,22.944,0,23.03,"included"
"stomata-franks_reichgelt_2020.xlsx",8,22.944,0,23.03,"included"
"stomata-franks_reichgelt_2020.xlsx",9,22.947,0,23.03,"included"
"stomata-franks_reichgelt_2020.xlsx",10,22.947,0,23.03,"included"
"stomata-franks_reichgelt_2020.xlsx",11,22.947,0,23.03,"included"
"stomata-franks_reichgelt_2020.xlsx",12,22.947,0,23.03,"included"
"stomata-franks_reichgelt_2020.xlsx",13,22.947,0,23.03,"included"
"stomata-franks_reichgelt_2020.xlsx",14,22.948,0,23.03,"included"
"stomata-franks_reichgelt_2020.xlsx",15,22.948,0,23.03,"included"
"stomata-franks_reichgelt_2020.xlsx",16,22.948,0,23.03,"included"
